"display_name","api_key","data_type","nullable","allowed_values","source_of_truth","writable_by","update_event","description","example","classification","authority"
"Lead ID","lead_id","uuid","false","","Core","Backend only","lead.projection.upsert.v1","Stable Core aggregate ID","8e6e2d93-5c5d-4a40-a6bb-21eb1e90e209","core_read_only","CORE"
"External lead key","external_lead_key","string","false","","Core","Backend only","lead.projection.upsert.v1","Canonical source identity","pancake:page1:conv99","core_read_only","CORE"
"Source","source","string","false","pancake|crm_import","Core","Backend only","lead.projection.upsert.v1","Lead origin","pancake","core_read_only","CORE"
"Page ID","page_id","string","true","","Source/Core","Backend only","lead.projection.upsert.v1","Source page identifier","page_123","core_read_only","CORE"
"Conversation ID","conversation_id","string","true","","Source/Core","Backend only","lead.projection.upsert.v1","Source conversation identifier","conv_99","core_read_only","CORE"
"Customer external ID","customer_external_id","string","true","","Source/Core","Backend only","lead.projection.upsert.v1","External customer identifier","cust_42","core_read_only","CORE"
"Customer name","customer_name","string","true","","Source/Core","Backend only","lead.projection.upsert.v1","Projection display name","Nguyen Van A","core_read_only","CORE"
"Customer phone","customer_phone","string","true","","Source/Core","Backend only","lead.projection.upsert.v1","Normalized phone if permitted","0900000000","core_read_only","CORE"
"Created at","created_at","timestamptz","false","","Core","Backend only","lead.projection.upsert.v1","Lead creation time","2026-07-29T06:00:00Z","core_read_only","CORE"
"Lead state","lead_state","string","false","SHARED_WAITING_SALE|OWNED_WAITING_SALE|OWNED_WAITING_CUSTOMER|STOPPED_WON|STOPPED_FAILED","Core","Backend only","lead.projection.upsert.v1","Authoritative business state","OWNED_WAITING_SALE","core_read_only","CORE"
"State changed at","state_changed_at","timestamptz","false","","Core","Backend only","lead.projection.upsert.v1","Last state transition time","2026-07-29T06:01:00Z","core_read_only","CORE"
"Owner ID","owner_id","string","true","","Core","Backend only","lead.projection.upsert.v1","Current owner identifier","sale_12","core_read_only","CORE"
"Owner display name","owner_name","string","true","","Core","Backend only","lead.projection.upsert.v1","Display projection of owner","Tran B","derived_display_only","DERIVED"
"Owner assigned at","owner_assigned_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Latest assignment time","2026-07-29T06:01:00Z","core_read_only","CORE"
"SLA ID","sla_id","uuid","true","","Core","Backend only","lead.projection.upsert.v1","Current or display SLA ID","3f03a76b-7f15-4879-a25b-746a04f8ebc1","core_read_only","CORE"
"SLA type","sla_type","string","true","CUSTOMER_RESPONSE|FOLLOWUP","Core","Backend only","lead.projection.upsert.v1","Authoritative SLA type","CUSTOMER_RESPONSE","core_read_only","CORE"
"SLA status","sla_status","string","true","ACTIVE|PAUSED|COMPLETED|EXPIRED|CANCELLED|SUPERSEDED","Core","Backend only","lead.projection.upsert.v1","Authoritative SLA lifecycle","ACTIVE","core_read_only","CORE"
"SLA started at","sla_started_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Authoritative start","2026-07-29T06:00:00Z","core_read_only","CORE"
"SLA deadline at","sla_deadline_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Authoritative deadline","2026-07-29T06:03:00Z","core_read_only","CORE"
"SLA warning at","sla_warning_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Authoritative warning","2026-07-29T06:01:30Z","core_read_only","CORE"
"SLA paused at","sla_paused_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Pause timestamp","2026-07-29T17:00:00Z","core_read_only","CORE"
"SLA remaining seconds","sla_remaining_seconds","integer","true","","Core","Backend only","lead.projection.upsert.v1","Remaining seconds if paused","1200","derived_display_only","DERIVED"
"Quiet hours paused","quiet_hours_paused","boolean","false","true|false","Core","Backend only","lead.projection.upsert.v1","True only for paused Follow-up","false","derived_display_only","DERIVED"
"Follow-up started at","followup_started_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Absolute milestone anchor","2026-07-29T06:01:00Z","core_read_only","CORE"
"Follow-up milestone index","followup_milestone_index","integer","true","1|2|3|4|5|6|7|8|9|10","Core","Backend only","lead.projection.upsert.v1","Current or display milestone","1","core_read_only","CORE"
"Next follow-up at","next_followup_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Current follow-up deadline","2026-07-29T07:01:00Z","derived_display_only","DERIVED"
"Last customer message at","last_customer_message_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Last accepted customer event time","2026-07-29T06:00:00Z","core_read_only","CORE"
"Last sale response at","last_sale_response_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Last accepted sale response time","2026-07-29T06:01:00Z","core_read_only","CORE"
"Last activity summary","last_activity_summary","string","true","","Core","Backend only","lead.activity.append.v1","Sanitized display summary","Sale responded","derived_display_only","DERIVED"
"Outcome","outcome","string","true","WON|FAILED","Core","Backend only","lead.projection.upsert.v1","Terminal outcome","WON","core_read_only","CORE"
"Outcome reason","outcome_reason","string","true","","Core","Backend only","lead.projection.upsert.v1","Failure or terminal reason","FOLLOWUP_SEQUENCE_EXHAUSTED","core_read_only","CORE"
"Closed at","closed_at","timestamptz","true","","Core","Backend only","lead.projection.upsert.v1","Terminal timestamp","2026-07-29T09:00:00Z","core_read_only","CORE"
"State version","state_version","bigint","false","","Core","Backend only","lead.projection.upsert.v1","Monotonic projection ordering field","7","core_read_only","CORE"
"Last event ID","last_event_id","uuid","false","","Core","Backend only","lead.projection.upsert.v1","Event dedup/audit reference","4db7d44f-d7e3-4d03-89e0-e4f041a1d12a","core_read_only","CORE"
"CRM note","crm_note","text","true","","CRM","CRM user","crm.note.recorded","Non-state user note; separate activity input","Customer requested photos","crm_user_input","CRM"
