event_name,event_version,event_versioning_rule,producer,consumer,triggering_business_condition,required_payload,idempotency_key,resulting_lead_state,owner_effect,sla_effect,crm_projection_effect
lead.imported,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Backend ingest,Core,new canonical lead identity,"external_lead_key,source,event_time,customer",source|external_lead_key,SHARED_WAITING_SALE,none,"open CUSTOMER_RESPONSE only if initial customer message",upsert
customer.message.received,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Pancake/Backend ingest,Core,customer message for non-terminal lead,"message_id,lead_id,event_time,actor_id",source|message_id,OWNED_WAITING_SALE or SHARED_WAITING_SALE,retain,"supersede FOLLOWUP; open CUSTOMER_RESPONSE",upsert+activity
sale.responded,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Pancake/Backend ingest,Core,recognized sale message,"message_id,lead_id,event_time,actor_id",source|message_id,OWNED_WAITING_CUSTOMER,"assign if shared; otherwise retain",complete CUSTOMER_RESPONSE and open FOLLOWUP M1,upsert+activity
customer_response.warning.due,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Timer worker,Core,active Customer Response reaches warning,"sla_id,sla_version,expected_state_version,scheduled_at",warning|sla_id|sla_version,unchanged,none,unchanged,activity/notification only
customer_response.deadline.due,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Timer worker,Core,active Customer Response expires,"sla_id,sla_version,expected_state_version,scheduled_at",deadline|sla_id|sla_version,SHARED_WAITING_SALE,remove if owned,expire CUSTOMER_RESPONSE,upsert+activity
followup.warning.due,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Timer worker,Core,active Follow-up reaches qualifying window,"sla_id,sla_version,expected_state_version,scheduled_at,milestone_index",warning|sla_id|sla_version,unchanged,retain,unchanged,activity/notification only
followup.deadline.due,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Timer worker,Core,active Follow-up expires,"sla_id,sla_version,expected_state_version,scheduled_at,milestone_index",deadline|sla_id|sla_version,SHARED_WAITING_SALE or STOPPED_FAILED,remove M1-M9; retain history M10,expire FOLLOWUP,upsert+activity
quiet_hours.started,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Schedule worker,Core,quiet window begins,"event_time,timezone",quiet_start|local_date,unchanged,retain,pause FOLLOWUP only,upsert
quiet_hours.ended,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",Schedule worker,Core,quiet window ends,"event_time,timezone",quiet_end|local_date,unchanged,retain,resume FOLLOWUP only,upsert
lead.owner.assigned,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",CRM via Backend,Core,authorized explicit assignment,"lead_id,target_owner_id,actor_id,expected_state_version",command_id,OWNED_WAITING_SALE or OWNED_WAITING_CUSTOMER,set,Core determines compatible SLA atomically,upsert+activity
lead.reclaimed,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",CRM via Backend or timer,Core,authorized/manual or due reclaim,"lead_id,actor_id,expected_state_version,reason",command_id,SHARED_WAITING_SALE,remove,cancel active SLA,upsert+activity
lead.won,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",CRM via Backend,Core,authorized terminal win,"lead_id,actor_id,expected_state_version",command_id,STOPPED_WON,retain historical owner,cancel active SLA,upsert+activity
lead.failed,1,"Version identifies the immutable payload schema for this event name. Increment only for an incompatible payload-schema change; additive compatible fields retain v1. Consumers must accept v1 unchanged; a future incompatible version is a separately supported version, never a rename.",CRM via Backend or timer,Core,authorized failure or M10 expiry,"lead_id,actor_id,expected_state_version,reason",command_id,STOPPED_FAILED,retain historical owner,cancel active SLA,upsert+activity
